		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110110   22   27   24   19   33   19   33   25  9.291073 0.318340 SUCCESS 143
111111000   20   19   34   25   27   25   22   26  6.629914 0.577036 SUCCESS 144
111111010   29   23   24   22   22   29   28   31  4.767103 0.782154 SUCCESS 145
111111100   29   22   23   31   27   30   24   21  5.182164 0.737941 SUCCESS 146
111111110   24   27   22   29   31   19   33   22  7.893633 0.443929 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   21   30   22   21   30   20   24  4.722750 0.786756 SUCCESS   0
000000011   23   24   27   18   32   28   25   14  9.704810 0.286359 SUCCESS   1
000000101   21   18   20   16   15   29   24   25 10.693146 0.219699 SUCCESS   2
000000111   17   23   29   28   23   25   23   18  5.764044 0.673643 SUCCESS   3
000001001   29   28   22   20   27   25   25   24  2.834122 0.944332 SUCCESS   4
000001011   25   21   21   21   14   25   25   29  6.992017 0.537494 SUCCESS   5
000001101   17   26   24   24   33   26   28   21  6.723253 0.566765 SUCCESS   6
000001111   29   23   22   26   20   27   21   20  3.747654 0.879143 SUCCESS   7
000010001   30   29   22   27   18   22   26   18  6.578279 0.582739 SUCCESS   8
000010011   28   26   24   22   30   23   23   27  2.690472 0.952257 SUCCESS   9
000010101   21   20   25   19   29   28   22   21  4.738638 0.785111 SUCCESS  10
000010111   27   30   17   26   15   27   34   22 12.222319 0.141557 SUCCESS  11
000011001   29   21   25   28   18   25   23   22  4.027671 0.854618 SUCCESS  12
000011011   23   22   28   29   31   22   26   19  5.206657 0.735277 SUCCESS  13
000011101   23   20   29   27   29   26   27   15  7.121103 0.523625 SUCCESS  14
000011111   35   22   29   21   21   33   20   25 10.850697 0.210303 SUCCESS  15
000100011   31   30   19   25   19   27   29   28  7.393839 0.494796 SUCCESS  16
000100101   22   24   19   25   21   25   22   23  2.331679 0.969118 SUCCESS  17
000100111   22   31   18   28   22   18   22   26  6.704718 0.568800 SUCCESS  18
000101001   16   19   34   21   20   29   13   18 17.573764 0.024659 SUCCESS  19
000101011   22   25   32   18   17   22   31   23  8.933604 0.347928 SUCCESS  20
000101101   33   27   20   25   30   21   27   36 12.064106 0.148366 SUCCESS  21
000101111   28   31   25   23   20   22   29   27  4.741285 0.784836 SUCCESS  22
000110011   27   28   24   29   23   25   21   25  2.342933 0.968653 SUCCESS  23
000110101   18   25   25   26   30   26   21   22  4.044883 0.853051 SUCCESS  24
000110111   35   27   26   29   31   28   29   23  9.430088 0.307322 SUCCESS  25
